,右-Fx,右-Fy,右-Fz,右-Mx,右-My,右-Mz,右-Mx',右-My',右-COPx,右-COPy,左-Fx,左-Fy,左-Fz,左-Mx,左-My,左-Mz,左-Mx',左-My',左-COPx,左-COPy,合成-Fx,合成-Fy,合成-Fz,合成-Mx,合成-My,合成-Mz,合成-COPx,合成-COPy,右-速度計,左-速度計,右-速度,左-速度,右-実速度,左-実速度,引張力,負荷制御,右-Fy電圧,左-Fy電圧,右-Fz電圧,左-Fz電圧
0.004,-19.3605837780617,9.48931951533476,331.563551814967,-5.83333333333333,-24.2,3.85,-6.99482604201031,-26.5697354544347,80.1346689314702,-21.0964866425181,20.3685114182459,-4.61866455751267,389.450356943676,-13.5,8.45,0.05,-12.9346754581604,10.9431057975933,-28.0988464960527,-33.2126424524785,1.00792764018419,4.87065495782209,721.013908758643,-19.9295015001708,-27.4355379030981,1.02197124913912,38.0513296204415,-27.6409390416379,0.0164794921875,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.00701904296875,0.0054931640625,0.03875732421875,-0.00244140625
0.005,-19.3560523809062,9.49909128381297,331.526745933336,-6.33333333333333,-24.1,3.95,-7.49602210647204,-26.4691808114229,79.840257644689,-22.6106104512586,20.3734704572367,-4.59812203856913,389.370738876133,-13.8333333333333,8.35,0.05,-13.2705231958125,10.8437127839658,-27.8493263650595,-34.0819734788394,1.01741807633046,4.90096924524385,720.897484809469,-20.7665453022845,-27.4256425877877,1.12416848223405,38.0437484742178,-28.8065165156916,0.0201416015625,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.0067138671875,0.0048828125,0.0390625,-0.00335693359375
0.006,-19.3507755222154,9.50904187449743,331.486563168303,-6.33333333333333,-24.6,3.95,-7.49724005877182,-26.9685349239192,81.3563441792562,-22.6170255201726,20.3775600703584,-4.58109031805255,389.289412274944,-13.5,8.45,0.25,-12.9392745450704,10.9442133526119,-28.1133085245131,-33.2381876749623,1.02678454814302,4.92795155644487,720.775975443247,-20.4365146038422,-27.8161027890621,1.3256130327198,38.5918839372475,-28.3534902662018,0.0164794921875,0.0128173828125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.7373046875,0,0.006103515625,0.0048828125,0.0390625,-0.00244140625
0.007,-19.3446701280772,9.51866553449046,331.441971002086,-6.66666666666667,-24.6,4.1,-7.8317513280883,-26.9677876236767,81.3650351587696,-23.6293288517736,20.3803808676201,-4.56771448924,389.206246929567,-13.3333333333333,8.5,0.4,-12.7742450798504,10.9945586181967,-28.2486694520767,-32.8212745315006,1.03571073954285,4.95095104525046,720.648217931654,-20.6059964079387,-27.7571412946861,1.62637847515899,38.5169082556707,-28.5936964738223,0.02197265625,0.0164794921875,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.92041015625,0,0.0067138671875,0.00518798828125,0.03936767578125,-0.00244140625
0.008,-19.3376038591335,9.52734337642598,331.392025121719,-5.83333333333333,-24.65,4.3,-6.99948016260787,-27.0169227123579,81.5255668944801,-21.1214502220957,20.3815602261783,-4.55823741648962,389.121132119853,-14.5,8.45,0.3,-13.9420717402217,10.9447029716842,-28.1267247349423,-35.8296442659592,1.0439563670448,4.96910595993636,720.513157241572,-20.9415519028295,-27.8489575682931,1.72654151824522,38.6515600560449,-29.0647737551423,0.018310546875,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.92041015625,0,0.00640869140625,0.0048828125,0.0390625,-0.0018310546875
0.009,-19.3294867125082,9.53453323086662,331.336007798365,-5.66666666666667,-25.05,4.2,-6.83369353412474,-27.415929173611,82.7435851472412,-20.6246631011604,20.3808501722552,-4.55299387415596,389.034148534186,-14,8.4,0.25,-13.4427135498033,10.894616061084,-28.0042667260267,-34.5540708969974,1.05136345974698,4.98153935671066,720.370156332552,-20.2764070839281,-28.2917338226345,1.57614447057539,39.2738838136624,-28.1472058575503,0.018310546875,0.010986328125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.67626953125,0,0.006103515625,0.0048828125,0.037841796875,-0.00213623046875
0.01,-19.3203795858078,9.53990024467041,331.273451001356,-5.66666666666667,-24.7,4.15,-6.83435045661433,-27.0648144613029,81.6993163185662,-20.6305408295045,20.3781778845329,-4.55234283365346,388.945559642149,-13.6666666666667,8.4,0.15,-13.1094599038275,10.8942889730668,-28.0098042077924,-33.7051280798498,1.0577982987251,4.98755741101695,720.219010643506,-19.9438103604418,-27.9356356509577,1.42518241202193,38.7876954622423,-27.6913134278729,0.0201416015625,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.615234375,0,0.00701904296875,0.00701904296875,0.04058837890625,0.00244140625
0.011,-19.3105298912656,9.5433291781835,331.204158763135,-5.66666666666667,-24.5,4.15,-6.83477015807633,-26.8636088586909,81.1089116725214,-20.6361242068953,20.3736086417038,-4.55655401967665,388.855716955618,-13.3333333333333,8.15,0.35,-12.7756111213249,10.6437296977445,-27.3719254562467,-32.8543739085185,1.06307875043823,4.98677515850685,720.059875718753,-19.6103812794012,-27.9807970322127,1.62362382763653,38.8589865589757,-27.2343758355185,0.0201416015625,0.010986328125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.92041015625,0,0.00640869140625,0.00732421875,0.03997802734375,0.00152587890625
0.012,-19.3003043993661,9.54484744006204,331.128275667738,-5.33333333333333,-24.6,4.05,-6.50162265999693,-26.9623572584824,81.4257169796551,-19.634755282937,20.3672494231657,-4.56570271986811,388.76496903567,-14.1666666666667,8.1,0.15,-13.6078246537548,10.5929513293955,-27.2477002124735,-35.0027027576815,1.06694502379957,4.97914472019392,719.893244703407,-20.1094473137517,-28.1272913761451,1.32144776737425,39.0714756432163,-27.9339297343132,0.02197265625,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.9814453125,0,0.00701904296875,0.006103515625,0.03936767578125,0.0006103515625
0.013,-19.2900664082427,9.54450922297384,331.04633090933,-5.16666666666667,-24.35,3.9,-6.33491459555867,-26.7111041283689,80.6869058327814,-19.1360362706866,20.3591736277044,-4.57962379875752,388.673546097837,-14,8.15,0.15,-13.4394540470321,10.641962852031,-27.3802088124418,-34.5777431522162,1.06910721946164,4.96488542421632,719.719877007167,-19.7743686425907,-27.8250931747934,1.1686768635668,38.6610041819317,-27.4750903432306,0.0201416015625,0.0128173828125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.7373046875,0,0.006103515625,0.006103515625,0.03936767578125,0.0006103515625
